"iid","gender","wave","from","zipcode","zip5","census_match","income_2000","zip_median_income_2021","zip_median_income_2021_moe","zip_gini_2021","zip_gini_2021_moe","zip_population_2021","zip_population_2021_moe"
320,1,12,"Pennsylvania","18,603","18603",TRUE,23207,53900,4242,0.4162,0.0274,19524,476
321,1,12,"France  / New York","0",,FALSE,,,,,,,
322,0,13,"Tokyo and Texas","",,FALSE,,,,,,,
323,0,13,"Taiwan","",,FALSE,,,,,,,
324,0,13,"Erie, PA","",,FALSE,,,,,,,
325,0,13,"New York","",,FALSE,,,,,,,
326,0,13,"Westchester, new York","",,FALSE,,,,,,,
327,0,13,"USA/American","",,FALSE,,,,,,,
328,0,13,"NYC","",,FALSE,,,,,,,
329,0,13,"Great Neck, NY","",,FALSE,,,,,,,
330,0,13,"California (West Coast)","",,FALSE,,,,,,,
331,0,13,"New Jersey","",,FALSE,,,,,,,
332,1,13,"japan","",,FALSE,,,,,,,
333,1,13,"Portland, OR","",,FALSE,,,,,,,
334,1,13,"New York/South Korea/Japan","",,FALSE,,,,,,,
335,1,13,"Michigan","",,FALSE,,,,,,,
336,1,13,"Miami","",,FALSE,,,,,,,
337,1,13,"Dallas, Texas","",,FALSE,,,,,,,
338,1,13,"Bombay, India","",,FALSE,,,,,,,
339,1,13,"","",,FALSE,,,,,,,
340,1,13,"","",,FALSE,,,,,,,
341,0,14,"New Jersey","8,816","08816",TRUE,,127717,6388,0.4164,0.0182,48950,719
342,0,14,"Palo Alto, CA","",,FALSE,,,,,,,
343,0,14,"New York","10,001","10001",TRUE,25831,101409,11816,0.5524,0.0296,26966,1911
344,0,14,"New Mexico","87,110","87110",TRUE,28759,56247,3338,0.4668,0.0174,40307,1978
345,0,14,"Brooklyn","11,235","11235",TRUE,25401,58669,3780,0.5064,0.0118,84859,2518
346,0,14,"","",,FALSE,,,,,,,
347,0,14,"WASHINGTON, D.C.","20,001","20001",TRUE,19264,126290,9431,0.4636,0.0161,45551,2094
348,0,14,"CALIFORNIA","92,683","92683",TRUE,41778,71108,4574,0.4967,0.016,91267,90
349,0,14,"New York","66,614","66614",TRUE,35963,64853,3114,0.4,0.0175,33332,1416
350,0,14,"New Jersey","7,760","07760",TRUE,,184336,24630,0.5388,0.0304,9451,387
351,0,14,"Taiwan","90,504","90504",TRUE,,97289,7503,0.4293,0.027,33022,1789
352,0,14,"Taiwan","2,115","02115",TRUE,,47486,5727,0.6285,0.0251,28559,1762
353,0,14,"Taiwan","11,373","11373",TRUE,,62072,2983,0.4252,0.0175,102104,3656
354,0,14,"Manhattan","10,128","10128",TRUE,49409,127919,10591,0.5594,0.0201,58147,3168
355,0,14,"NJ","8,225","08225",TRUE,,88232,16323,0.4675,0.0641,8419,24
356,0,14,"Pennsylvania","18,103","18103",TRUE,31516,66400,4639,0.4577,0.027,49023,1826
357,0,14,"atlanta, ga","30,071","30071",TRUE,36223,54835,9722,0.4854,0.0443,25602,1863
358,0,14,"California and New York","95,008","95008",TRUE,43367,128476,7106,0.4657,0.0165,48786,841
359,0,14,"California","11,104","11104",TRUE,27503,81142,4778,0.4065,0.019,27575,1392
360,0,14,"New Delhi, India","110,060",,FALSE,,,,,,,
361,1,14,"Bronx Science","10,469","10469",TRUE,35187,70415,3997,0.4631,0.0181,75290,3123
362,1,14,"Spain","",,FALSE,,,,,,,
363,1,14,"nashville, TN","37,204","37204",TRUE,26298,97727,9675,0.5164,0.0453,17047,1166
364,1,14,"Miami","34,105","34105",TRUE,,90260,16631,0.5563,0.0322,16530,1101
365,1,14,"France","94,130","94130",TRUE,,83077,38983,0.4752,0.0566,3185,520
366,1,14,"Australia","3,186","03186",FALSE,,,,,,,
367,1,14,"Toronto, Canada","",,FALSE,,,,,,,
368,1,14,"UK/Turkey","",,FALSE,,,,,,,
369,1,14,"Boston, MA","46,818","46818",TRUE,31148,75089,5875,0.3695,0.0232,21532,1069
370,1,14,"New York","11,363","11363",TRUE,55704,98111,21953,0.4752,0.0396,7424,803
371,1,14,"Chicago","60,521","60521",TRUE,69487,216286,17967,0.5094,0.0177,18004,416
372,1,14,"Midwest USA","66,208","66208",TRUE,46138,100643,7212,0.5211,0.0203,21662,512
373,1,14,"Costa Rica","9,971,200",,FALSE,,,,,,,
374,1,14,"SOUTH KOREA","135,110",,FALSE,,,,,,,
375,1,14,"Yugoslavia","0",,FALSE,,,,,,,
376,1,14,"los angeles","48,098","48098",TRUE,66827,149337,10017,0.4098,0.0258,20242,1097
377,1,14,"new york","7,039","07039",TRUE,,176991,21343,0.4386,0.0239,31103,54
378,1,14,"Wisconsin","53,012","53012",TRUE,42897,89380,8917,0.4327,0.0291,18929,552
379,0,15,"NYC, San Francisco","95,695","95695",TRUE,31809,73131,5870,0.4513,0.0462,40479,1218
380,0,15,"Chicago","60,519","60519",TRUE,,,,0.242,0.1218,40,42
381,0,15,"California","92,833","92833",TRUE,,98176,8197,0.4616,0.0385,53188,1958
382,0,15,"New York City","10,028","10028",TRUE,52010,149789,11622,0.5392,0.0259,47793,3568
383,0,15,"Massachusetts","1,040","01040",TRUE,,45045,2869,0.4884,0.018,38480,32
384,0,15,"Connecticut","6,019","06019",TRUE,,100369,19495,0.4425,0.0293,9989,111
385,0,15,"Oregon","91,011","91011",TRUE,78704,187297,17423,0.4676,0.0241,20621,51
386,0,15,"New York","11,023","11023",TRUE,75347,131458,46634,0.5252,0.0493,10169,964
387,0,15,"New Jersey","7,069","07069",TRUE,,139583,24382,0.4285,0.0507,6696,171
388,0,15,"San Francisco, CA","94,960","94960",TRUE,47005,156169,19195,0.4955,0.0341,15871,534
389,0,15,"Florida and Virginia","33,414","33414",TRUE,52805,95941,2825,0.4152,0.0196,58505,1561
390,0,15,"Hong Kong","0",,FALSE,,,,,,,
391,0,15,"Maryland","20,852","20852",TRUE,50725,113482,6430,0.449,0.0213,48194,2342
392,0,15,"New York, NY","10,128","10128",TRUE,49409,127919,10591,0.5594,0.0201,58147,3168
393,0,15,"Long Island","11,733","11733",TRUE,65693,161801,18211,0.4662,0.0261,17177,1261
394,0,15,"San Francisco Bay Area","94,403","94403",TRUE,45736,151369,9126,0.4518,0.0198,44244,1299
395,0,15,"Los Angeles","16,803","16803",TRUE,33906,65241,5296,0.5081,0.0221,24057,1080
396,0,15,"Hawaii and Los Angeles","96,701","96701",TRUE,50501,101728,5362,0.3969,0.0147,41818,1962
397,1,15,"New Jersey","7,675","07675",TRUE,,155135,7493,0.4297,0.0262,27025,79
398,1,15,"Italy","9,012","09012",FALSE,,,,,,,
399,1,15,"Chicago","60,611","60611",TRUE,48785,117344,10316,0.5325,0.0189,34562,1543
400,1,15,"Italy","80,136","80136",TRUE,,103598,11430,0.3872,0.0942,5922,909
401,1,15,"Germany","10,025","10025",TRUE,,103440,6815,0.5921,0.019,96918,4346
402,1,15,"Korea","",,FALSE,,,,,,,
403,1,15,"Paris","78,100","78100",FALSE,,,,,,,
404,1,15,"France","78,230","78230",TRUE,,62854,5457,0.484,0.0194,42892,1869
405,1,15,"New York City","10,021","10021",TRUE,55080,136060,15170,0.5591,0.0215,42484,3281
406,1,15,"Minneapolis","400,051",,FALSE,,,,,,,
407,1,15,"New Jersey","7,901","07901",TRUE,,148945,15782,0.5374,0.0198,24218,339
408,1,15,"NYC","0",,FALSE,,,,,,,
409,1,15,"france","",,FALSE,,,,,,,
410,1,15,"Austin, TX","10,021","10021",TRUE,55080,136060,15170,0.5591,0.0215,42484,3281
411,1,15,"Washington DC","20,817","20817",TRUE,80006,217674,11750,0.483,0.022,38286,1573
412,1,15,"New Jersey","7,032","07032",TRUE,,76647,2974,0.3919,0.0147,41790,100
413,1,15,"Woburn, MA","1,801","01801",TRUE,,95184,4455,0.4386,0.0186,40967,31
414,1,15,"New Jersey","10,021","10021",TRUE,55080,136060,15170,0.5591,0.0215,42484,3281
415,1,15,"Atlanta, GA","30,066","30066",TRUE,52318,101080,6589,0.4252,0.0208,58846,3201
416,0,16,"Miami","33,156","33156",TRUE,62844,123991,14527,0.5781,0.0518,33111,1358
417,0,16,"Greece/Germany","",,FALSE,,,,,,,
418,0,16,"New York","11,040","11040",TRUE,52586,140368,10251,0.4052,0.0198,42634,1674
419,0,16,"Colorado","80,220","80220",TRUE,29236,86466,7376,0.5253,0.0165,37116,1799
420,0,16,"Indiana","47,920","47920",TRUE,31486,103182,12840,0.32,0.0431,2717,411
421,0,16,"California","91,011","91011",TRUE,78704,187297,17423,0.4676,0.0241,20621,51
422,1,16,"Florida","33,021","33021",TRUE,31632,62314,4560,0.4843,0.022,49788,1827
423,1,16,"Canada","",,FALSE,,,,,,,
424,1,16,"TN","0",,FALSE,,,,,,,
425,1,16,"New York, NY","20,854","20854",TRUE,106663,217477,9120,0.4373,0.0173,49684,2117
426,1,16,"New Jersey","7,410","07410",TRUE,,133209,10820,0.4113,0.0246,34820,28
427,1,16,"California","90,272","90272",TRUE,84043,212115,29361,0.546,0.0208,21282,1379
428,1,16,"New York","11,432","11432",TRUE,35224,66246,5741,0.4679,0.022,64858,2679
429,1,16,"Pittsburgh, PA","15,146","15146",TRUE,36381,74987,5605,0.3859,0.023,28650,87
430,0,17,"California","94,539","94539",TRUE,65498,200046,7716,0.3908,0.0182,53762,1717
431,0,17,"Southern California","92,843","92843",TRUE,,74940,6672,0.4181,0.0207,48413,2352
432,0,17,"Hastings-on-Hudson, NY","10,706","10706",TRUE,60000,171615,29298,0.4852,0.0301,9050,328
433,0,17,"Northern California","93,257","93257",TRUE,22669,48411,3482,0.4568,0.0159,78754,1739
434,0,17,"Maryland","20,816","20816",TRUE,81266,213828,12000,0.4805,0.025,17433,1106
435,0,17,"New Jersey","7,726","07726",TRUE,,135953,11714,0.441,0.0373,44954,651
436,0,17,"California","92,869","92869",TRUE,,126864,10611,0.4471,0.0372,36174,1815
437,0,17,"North Carolina","28,804","28804",TRUE,29746,72575,7367,0.4799,0.0278,24854,1218
438,0,17,"California","94,044","94044",TRUE,47556,138381,7130,0.4027,0.0156,38609,47
439,0,17,"Baltimore","21,209","21209",TRUE,42651,86730,4174,0.4935,0.041,30146,1716
440,1,17,"Milano, Italy","20,129","20129",TRUE,,250001,,0.3085,0.1399,615,333
441,1,17,"Boston","6,437","06437",TRUE,,115171,7471,0.4802,0.0268,22113,27
442,1,17,"poland","108","00108",FALSE,,,,,,,
443,1,17,"New York","17,403","17403",TRUE,27794,60840,5140,0.4879,0.0193,39842,1567
444,1,17,"Los Angeles, CA","10,016","10016",TRUE,41737,136431,12756,0.5089,0.022,56758,3370
445,1,17,"Burlington, Vermont","11,576","11576",TRUE,90225,207548,17060,0.4829,0.0304,12828,883
446,1,17,"Bogota, Colombia","0",,FALSE,,,,,,,
447,1,17,"India","110,003",,FALSE,,,,,,,
448,1,17,"New York City","10,021","10021",TRUE,55080,136060,15170,0.5591,0.0215,42484,3281
449,1,17,"New York","11,552","11552",TRUE,52280,133423,10941,0.3703,0.018,26207,1461
450,1,17,"Singapore","",,FALSE,,,,,,,
451,1,17,"Asia, Singapore","650,206",,FALSE,,,,,,,
452,1,17,"Singapore","10,027","10027",TRUE,,58435,5213,0.5847,0.0193,65840,2871
453,1,17,"Shanghai, China","210,009",,FALSE,,,,,,,
454,0,18,"California","94,941","94941",TRUE,56056,183882,16288,0.4878,0.0168,32711,997
455,0,18,"India","560,032",,FALSE,,,,,,,
456,0,18,"NJ","7,030","07030",TRUE,,160890,7950,0.4589,0.0175,59369,32
457,0,18,"Santa Barbara, California","93,108","93108",TRUE,60835,192303,26573,0.5196,0.0262,11097,790
458,0,18,"Hong Kong","0",,FALSE,,,,,,,
459,0,18,"New York City","20,853","20853",TRUE,62829,133141,7276,0.3971,0.0246,31670,2276
460,1,18,"Cincinnati, Ohio","45,213","45213",TRUE,30038,63071,8617,0.4443,0.0371,11795,975
461,1,18,"india","248,001",,FALSE,,,,,,,
462,1,18,"Cambridge, MA","",,FALSE,,,,,,,
463,1,18,"China","200,000",,FALSE,,,,,,,
464,1,18,"Singapore","597,627",,FALSE,,,,,,,
465,1,18,"new york","10,027","10027",TRUE,16767,58435,5213,0.5847,0.0193,65840,2871
466,0,19,"Texas/London","77,077","77077",TRUE,42967,64904,3132,0.4957,0.0184,63168,3378
467,0,19,"CT, FL, TN","10,006","10006",TRUE,21488,200536,24685,0.3596,0.0559,3894,704
468,0,19,"Detroit suburbs","48,302","48302",TRUE,89977,150556,16464,0.5081,0.024,17244,893
469,0,19,"Tokyo, Japan","2,155","02155",TRUE,,107937,5063,0.4384,0.0246,62996,430
470,0,19,"south carolina","29,571","29571",TRUE,18619,35183,6032,0.4864,0.059,14238,911
471,0,19,"California, New Jersey","8,091","08091",TRUE,,84564,13210,0.3732,0.0535,5823,24
472,0,19,"California","92,879","92879",TRUE,,76973,5295,0.4194,0.0175,48033,1978
473,0,19,"Belgium","10,086","10086",FALSE,,,,,,,
474,0,19,"alabama","36,701","36701",TRUE,22161,40226,5085,0.4461,0.0246,21247,1056
475,0,19,"San Francisco","63,131","63131",TRUE,82734,182000,29916,0.4962,0.0204,18407,797
476,0,19,"California","94,933","94933",TRUE,40163,120000,20464,0.3753,0.0957,1185,406
477,0,19,"Canada","",,FALSE,,,,,,,
478,0,19,"Washington DC","5,401","05401",TRUE,,54088,3766,0.5228,0.0213,32724,750
479,0,19,"colorado","80,123","80123",TRUE,46185,97163,4859,0.4336,0.0142,46816,1647
480,0,19,"New Jersey","7,076","07076",TRUE,,161348,12503,0.4302,0.0278,24737,83
481,1,19,"Westchester County, N.Y.","10,502","10502",TRUE,78844,226848,28953,0.3686,0.0389,5853,261
482,1,19,"Florida","32,780","32780",TRUE,29575,52066,4366,0.4366,0.0196,37301,1279
483,1,19,"Romania","",,FALSE,,,,,,,
484,1,19,"Los Angeles","90,036","90036",TRUE,34752,87868,6334,0.5098,0.025,37596,1695
485,1,19,"South Orange, New Jersey","7,050","07050",TRUE,,48504,5537,0.4844,0.0321,33505,435
486,1,19,"Colombia, South America","10,021","10021",TRUE,,136060,15170,0.5591,0.0215,42484,3281
487,1,19,"New Jersey","7,733","07733",TRUE,,156996,16298,0.4896,0.0387,17135,154
488,1,19,"India","10,027","10027",TRUE,,58435,5213,0.5847,0.0193,65840,2871
489,1,19,"Greece","10,025","10025",TRUE,,103440,6815,0.5921,0.019,96918,4346
490,1,19,"Northern New Jersey","7,410","07410",TRUE,,133209,10820,0.4113,0.0246,34820,28
491,1,19,"New Jersey","7,201","07201",TRUE,,52768,4605,0.4234,0.0255,28207,1458
492,1,19,"new york","46,205","46205",TRUE,22173,56563,4907,0.5153,0.0223,28000,1877
493,1,19,"Philippines","1,128","01128",TRUE,,79015,20951,0.4194,0.0611,3232,842
494,1,19,"Boston","12,302","12302",TRUE,37994,83692,5415,0.4014,0.0183,27701,467
495,1,19,"Miami","33,184","33184",TRUE,35409,65536,10626,0.4425,0.0326,21528,1807
496,0,20,"Indiana","47,906","47906",TRUE,23707,48542,5976,0.5487,0.0185,73068,437
497,0,20,"Boston, Ma","1,742","01742",TRUE,,168934,9125,0.471,0.0301,18393,79
498,0,20,"Baltimore","10,025","10025",TRUE,33772,103440,6815,0.5921,0.019,96918,4346
499,0,20,"New York","10,605","10605",TRUE,57501,131463,5751,0.4895,0.0262,20481,1335
500,0,20,"Kansas City, Missouri","64,129","64129",TRUE,25314,40829,6164,0.4646,0.0741,8768,1089
501,0,20,"Upstate New York","12,603","12603",TRUE,48876,92480,7843,0.4249,0.02,41610,1375
502,1,20,"Boston","2,138","02138",TRUE,,108692,7808,0.5143,0.0224,39370,1733
503,1,20,"California","95,060","95060",TRUE,34870,93839,7147,0.5164,0.0202,47594,1915
504,1,20,"Maryland","20,782","20782",TRUE,35848,71819,4766,0.4327,0.0192,34492,1721
505,1,20,"Manila, Philippines","12,000","12000",FALSE,,,,,,,
506,1,20,"California","90,620","90620",TRUE,45017,104701,5853,0.3912,0.025,47104,1745
507,1,20,"Florida","32,304","32304",TRUE,12416,26060,2088,0.4812,0.0253,45853,1963
508,1,20,"New York","10,804","10804",TRUE,87789,213892,26491,0.4444,0.0274,15127,1135
509,0,21,"working","10,594","10594",TRUE,,167857,48409,0.382,0.0477,5309,781
510,0,21,"Chile","",,FALSE,,,,,,,
511,0,21,"India","395,001",,FALSE,,,,,,,
512,0,21,"Cambridge, MA","2,140","02140",TRUE,,119827,12807,0.4743,0.0256,20060,1215
513,0,21,"Florida","33,418","33418",TRUE,50572,110482,6834,0.5106,0.0203,42372,1691
514,0,21,"New York","11,001","11001",TRUE,49642,132344,9121,0.3976,0.0197,26818,928
515,0,21,"Kansas","67,111","67111",TRUE,20000,54583,18617,0.3818,0.0624,227,77
516,0,21,"California","91,754","91754",TRUE,32508,71735,7212,0.4481,0.016,33931,1152
517,0,21,"Mexico","78,666","78666",TRUE,,44914,3333,0.4594,0.0187,83858,1692
518,0,21,"San Diego","92,028","92028",TRUE,35627,87754,5874,0.4315,0.0167,50661,2416
519,0,21,"Boston","2,420","02420",TRUE,,215303,24253,0.4503,0.0235,15451,828
520,0,21,"Hawaii","96,797","96797",TRUE,46280,97875,3913,0.401,0.015,72943,3002
521,0,21,"Salt Lake City","84,108","84108",TRUE,41191,110697,15396,0.4933,0.0441,21736,1343
522,0,21,"Pennsylvania","19,087","19087",TRUE,71787,151113,14697,0.4624,0.0217,33717,1291
523,0,21,"China","10,027","10027",TRUE,,58435,5213,0.5847,0.0193,65840,2871
524,0,21,"Michigan","48,306","48306",TRUE,72412,161851,6517,0.3821,0.0193,27916,1261
525,0,21,"Saratoga, NY","12,020","12020",TRUE,36510,92344,5382,0.3726,0.0204,33896,1096
526,0,21,"New Jersey","",,FALSE,,,,,,,
527,0,21,"California","90,034","90034",TRUE,32386,88490,3150,0.435,0.0144,53321,2269
528,0,21,"NYC","10,029","10029",TRUE,15863,33901,4162,0.6242,0.0154,77661,3126
529,0,21,"HKG","",,FALSE,,,,,,,
530,0,21,"China","471,001",,FALSE,,,,,,,
531,1,21,"BEIJING, CHINA","11,572","11572",TRUE,,124688,8021,0.3997,0.0184,29791,1272
532,1,21,"California","94,536","94536",TRUE,46272,139636,10127,0.4074,0.0161,72744,2285
533,1,21,"Greece","26,223","26223",FALSE,,,,,,,
534,1,21,"Bangladesh","",,FALSE,,,,,,,
535,1,21,"Maryland","19,380","19380",TRUE,48137,115650,5039,0.4399,0.0171,50510,1426
536,1,21,"Italy","80,131","80131",TRUE,,78125,26926,0.3896,0.1689,265,111
537,1,21,"San Francisco/LA","91,789","91789",TRUE,61686,116583,7068,0.43,0.0205,41829,920
538,1,21,"Born in Iran","12,563","12563",TRUE,,95000,15561,0.3984,0.0638,7316,653
539,1,21,"Russia","7,078","07078",TRUE,,250001,,0.4397,0.0213,14285,604
540,1,21,"Persia","0",,FALSE,,,,,,,
541,1,21,"Indonesia","10,024","10024",TRUE,,153177,17247,0.5752,0.0187,63916,4419
542,1,21,"India and NJ","8,805","08805",TRUE,,71942,6599,0.4505,0.0414,13730,408
543,1,21,"San Diego","95,831","95831",TRUE,47624,86665,5152,0.4328,0.0178,43683,2159
544,1,21,"San Francisco","94,121","94121",TRUE,36673,116970,7718,0.5075,0.0198,43964,1740
545,1,21,"New York City","10,027","10027",TRUE,16767,58435,5213,0.5847,0.0193,65840,2871
546,1,21,"Genova, Italy","16,146","16146",TRUE,,35886,4230,0.4435,0.019,13222,61
547,1,21,"Milan, Italy","",,FALSE,,,,,,,
548,1,21,"Germany","50,354","50354",FALSE,,,,,,,
549,1,21,"Italy","136","00136",FALSE,,,,,,,
550,1,21,"UK","",,FALSE,,,,,,,
551,1,21,"London & New York","11,570","11570",TRUE,55138,138733,14872,0.4626,0.0204,28462,670
552,1,21,"France","78,110","78110",FALSE,,,,,,,
